ID,CAS,Chemical,Y_Exp.,Y_Pred._Mod.3,Y_Pred._MCI,Y_Pred._BCFWIN,VIM_D_deg,MATS2m,GATS2e,H6p,nHAcc
57,626-39-1,"1,3,5-Tribromobenzene",3.85,3.22,3.28,2.77,3.15,1.02,1.36,0,0
58,2234-13-1,Octachloronaphtalene,3.44,4.84,4.97,3.73,4.15,1.03,2.04,0,0
59,1825-31-6,"1,4-Dichloronaphtalene",3.56,3.47,3.26,3.51,3.57,0.99,1.15,0,0
60,91-58-7,2-Monochloronaphtalene,3.63,2.99,2.77,2.37,3.44,0.97,1.14,0,0
61,2050-74-0,"1,8-Dichloronaphtalene",3.79,3.47,3.26,3.23,3.57,0.99,1.15,0,0
62,2050-75-1,"2,3-Dichloronaphtalene",4.04,3.47,3.28,3.32,3.57,0.99,1.15,0,0
63,2198-77-8,"2,7-Dichloronaphtalene",4.04,3.47,3.28,3.62,3.56,0.99,1.15,0,0
64,20020-02-4,"1,2,3,4-Tetrachloronaphtalene",4.1,4.13,4.09,4.35,3.79,1.01,1.31,0,0
65,31604-28-1,"1,3,5,8-Tetrachloronaphtalene",4.4,4.13,4.13,4.36,3.79,1.01,1.31,0,0
66,55720-37-1,"1,3,7-Trichloronaphtalene",4.43,3.84,3.73,4.04,3.68,1,1.21,0,0
67,53555-64-9,"1,3,5,7-Tetrachloronaphtalene",4.53,4.13,4.13,4.69,3.79,1.01,1.31,0,0
68,2051-62-9,4-Chlorobiphenyl,2.69,3.31,3.37,2.85,3.68,0.97,1.2,0,0
69,13029-08-8,"2,2-Dichlorobiphenyl",3.26,3.74,3.82,3.75,3.79,0.98,1.17,0,0
70,2050-68-2,"4,4-Dichlorobiphenyl",3.28,3.73,3.83,3.95,3.78,0.98,1.17,0,0
71,39485-83-1,"2,2,4,4,6-Pentachlorobiphenyl",3.37,4.58,4.82,5.29,4.06,1.01,1.35,0,0
72,33284-50-3,"2,4-Dichlorobiphenyl",3.55,3.73,3.83,3.89,3.78,0.98,1.17,0,0
73,16606-02-3,"2,4,5-Trichlorobiphenyl",3.75,3.89,4.22,4.3,3.88,0.99,1.21,0.11,0
74,34883-41-5,"3,5-Dichlorobiphenyl",3.78,3.74,3.85,4.09,3.78,0.98,1.17,0,0
75,15968-05-5,"2,2,6,6-Tetrachlorobiphenyl",3.85,4.36,4.55,4.49,3.98,1,1.27,0,0
76,32598-13-3,"3,3,4,4-Tetrachlorobiphenyl",3.9,4.35,4.55,5.03,3.97,1,1.27,0,0
77,2437-79-8,"2,2,4,4-Tetrachlorobiphenyl",4.02,4.35,4.56,4.76,3.97,1,1.27,0,0
78,15862-07-4,"2,4,5-Trichlorobiphenyl",4.02,3.89,4.23,4.39,3.88,0.99,1.21,0.11,0
79,2051-24-3,"2,2,3,3,4,4,5,5,6,6-Decachlorobiphenyl",4.02,5.29,4.98,3.69,4.44,1.03,2.14,0,0
80,34883-39-1,"2,5-Dichlorobiphenyl",4.2,3.74,3.83,3.85,3.78,0.98,1.17,0,0
81,38444-93-8,"2,2,3,3-Tetrachlorobiphenyl",4.23,4.36,4.54,4.68,3.98,1,1.27,0,0
82,16605-91-7,"2,3-Dichlorobiphenyl",4.25,3.74,3.82,3.79,3.79,0.98,1.17,0,0
83,37680-65-2,"2,2,5-Trichlorobiphenyl",4.27,4.06,4.22,4.19,3.88,0.99,1.21,0,0
84,7012-37-5,"2,4,4-Trichlorobiphenyl",4.63,3.93,4.22,4.25,3.88,0.99,1.21,0.08,0
85,32598-11-1,"2,3,4,5-Tetrachlorobiphenyl",4.77,4.35,4.55,4.72,3.98,1,1.27,0,0
